TM,W3#DCS1#DPU1001_HW_AI040205,W3#DCS1#DPU1001_SH0034_AALM01,W3#DCS1#DPU1001_SH0034_AALM02,W3#DCS1#DPU1001_SH0035_AALM01,W3#DCS1#DPU1021_HW_AI010207,W3#DCS1#DPU1021_HW_AI030207,W3#DCS1#DPU1027_SH0025_AALM1,W3#DCS1#DPU1027_SH0026_AALM1
2024/3/27 11:42:00,17.932,339.906,160.644,500.55,-91.101,-91.115,0,0
2024/3/27 11:42:01,17.939,339.865,160.644,500.508,-91.101,-91.115,0,0
2024/3/27 11:42:02,17.946,339.823,160.644,500.466,-91.101,-91.115,0,0
2024/3/27 11:42:03,17.943,339.974,160.538,500.512,-91.101,-91.12,0,0
2024/3/27 11:42:04,17.941,340.125,160.433,500.558,-91.101,-91.124,0,0
2024/3/27 11:42:05,17.92,339.693,160.4,500.093,-91.101,-91.124,0,0
2024/3/27 11:42:06,17.898,339.26,160.368,499.628,-91.101,-91.124,0,0
2024/3/27 11:42:07,17.914,339.521,160.506,499,-91.106,-91.129,0,0
2024/3/27 11:42:08,13.057,231.823,128.333,498.5,-91.545,-91.55,0,0
2024/3/27 11:42:09,13.059,231.818,128.333,360.151,-91.545,-91.55,0,0
2024/3/27 11:42:10,13.061,231.812,128.333,362.146,-91.545,-91.55,0,0
2024/3/27 11:42:11,13.068,231.896,128.333,363.229,-91.545,-91.55,0,0
2024/3/27 11:42:12,13.075,231.979,128.333,364.312,-91.545,-91.55,0,0
2024/3/27 11:42:13,13.073,231.943,128.333,366.276,-91.536,-91.545,0,0
2024/3/27 11:42:14,13.071,231.906,128.333,367.24,-91.527,-91.541,0,0
2024/3/27 11:42:15,13.08,231.781,128.333,369.115,-91.531,-91.541,0,0
2024/3/27 11:42:16,13.09,231.656,128.333,369.99,-91.536,-91.541,0,0
2024/3/27 11:42:17,13.076,231.484,128.333,369.818,-91.536,-91.541,0,0
2024/3/27 11:42:18,13.061,231.312,128.333,399.1,-91.536,-91.541,0,0
2024/3/27 11:42:19,13.057,231.385,128.204,399.9,-91.541,-91.545,0,0
2024/3/27 11:42:20,14.222,262.219,138.331,400.55,-91.41,-91.435,0,0
2024/3/27 11:42:21,14.225,261.906,138.331,400.237,-91.41,-91.435,0,0
2024/3/27 11:42:22,14.228,261.594,138.331,399.925,-91.41,-91.435,0,0
2024/3/27 11:42:23,14.223,261.484,138.331,399.815,-91.405,-91.43,0,0
2024/3/27 11:42:24,14.219,261.375,138.331,399.706,-91.4,-91.424,0,0
2024/3/27 11:42:25,14.193,261.516,138.453,399.968,-91.391,-91.419,0,0
2024/3/27 11:42:26,14.167,261.656,138.574,400.23,-91.382,-91.414,0,0
2024/3/27 11:42:27,14.178,261.599,138.582,400.181,-91.382,-91.414,0,0
2024/3/27 11:42:28,14.19,261.542,138.59,400.132,-91.382,-91.414,0,0
2024/3/27 11:42:29,14.197,261.495,138.59,400.085,-91.386,-91.414,0,0
2024/3/27 11:42:30,14.205,261.448,138.59,400.038,-91.391,-91.414,0,0
2024/3/27 11:42:31,14.209,261.292,138.461,399.752,-91.391,-91.419,0,0
2024/3/27 11:42:32,14.214,261.135,138.331,399.466,-91.391,-91.424,0,0
